timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648539450984,514,GetById,200,OK,Web Service Employee 1-1,text,true,,336,664,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,31,0,23
1648539450984,32,GetById-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,179,332,1,1,http://localhost:5000/api/Employee/GetEmployeebyId?EmpID=1,31,0,23
1648539451019,479,GetById-1,200,OK,Web Service Employee 1-1,text,true,,157,332,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,478,0,471
1648539451503,7,GetDetails,200,OK,Web Service Employee 1-1,text,true,,396,670,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,2,0,0
1648539451503,2,GetDetails-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,182,335,1,1,http://localhost:5000/api/Employee/GetEmployeeDetails?EmpID=1,2,0,0
1648539451505,5,GetDetails-1,200,OK,Web Service Employee 1-1,text,true,,214,335,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,5,0,0
1648539451511,3,GetById,200,OK,Web Service Employee 1-1,text,true,,336,664,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,1,0,0
1648539451511,1,GetById-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,179,332,1,1,http://localhost:5000/api/Employee/GetEmployeebyId?EmpID=1,1,0,0
1648539451512,2,GetById-1,200,OK,Web Service Employee 1-1,text,true,,157,332,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,2,0,0
1648539451514,2,GetDetails,200,OK,Web Service Employee 1-1,text,true,,396,670,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,1,0,0
1648539451514,1,GetDetails-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,182,335,1,1,http://localhost:5000/api/Employee/GetEmployeeDetails?EmpID=1,1,0,0
1648539451515,1,GetDetails-1,200,OK,Web Service Employee 1-1,text,true,,214,335,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,1,0,0
1648539451517,1,GetById,200,OK,Web Service Employee 1-1,text,true,,336,664,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,0,0,0
1648539451517,0,GetById-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,179,332,1,1,http://localhost:5000/api/Employee/GetEmployeebyId?EmpID=1,0,0,0
1648539451517,1,GetById-1,200,OK,Web Service Employee 1-1,text,true,,157,332,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,1,0,0
1648539451519,1,GetDetails,200,OK,Web Service Employee 1-1,text,true,,396,670,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,0,0,0
1648539451519,0,GetDetails-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,182,335,1,1,http://localhost:5000/api/Employee/GetEmployeeDetails?EmpID=1,0,0,0
1648539451519,1,GetDetails-1,200,OK,Web Service Employee 1-1,text,true,,214,335,1,1,https://localhost:5001/api/Employee/GetEmployeeDetails?EmpID=1,1,0,0
1648539451521,1,GetById,200,OK,Web Service Employee 1-1,text,true,,336,664,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,0,0,0
1648539451521,0,GetById-0,307,Temporary Redirect,Web Service Employee 1-1,,true,,179,332,1,1,http://localhost:5000/api/Employee/GetEmployeebyId?EmpID=1,0,0,0
1648539451521,1,GetById-1,200,OK,Web Service Employee 1-1,text,true,,157,332,1,1,https://localhost:5001/api/Employee/GetEmployeebyId?EmpID=1,1,0,0
